awardid,action_date,federal_action_obligation,deobligated_amount_usd,label,action_type_code,action_type_description,correction_delete_indicator_code,correction_delete_indicator_description,recipient_name,recipient_city_name,recipient_state_code,primary_place_of_performance_city_name,trump_era_flag
ASST_NON_017915004_013,2022-05-16,-155145.99,155145.99,CANCELLATION,D,ADJUSTMENT TO COMPLETED PROJECT,,,JOBS FOR FALL RIVER INC,FALL RIVER,MA,FALL RIVER,0
ASST_NON_017915004_013,2022-08-05,-411854.01,411854.01,CANCELLATION,D,ADJUSTMENT TO COMPLETED PROJECT,,,JOBS FOR FALL RIVER INC,FALL RIVER,MA,FALL RIVER,0
ASST_NON_017915037_013,2023-03-22,-72941.49,72941.49,ADMIN_OR_PREPAY_ADJ,D,ADJUSTMENT TO COMPLETED PROJECT,,,LAWRENCE PARTNERSHIP INC,LAWRENCE,MA,LAWRENCE,0
ASST_NON_01CD004032_075,2022-06-22,-5842.85,5842.85,CANCELLATION,C,REVISION,,,MASSACHUSETTS DEPARTMENT OF EARLY EDUCATION & CARE,BOSTON,MA,,0
ASST_NON_01CH010226_075,2022-06-22,-94423.99,94423.99,RESCISSION,C,REVISION,,,PEOPLE ACTING IN COMMUNITY ENDEAVORS INC,NEW BEDFORD,MA,NEW BEDFORD,0
ASST_NON_01CH010314_075,2022-06-03,-290730.0,290730.0,RESCISSION,C,REVISION,,,COMMUNITY ACTION INC,HAVERHILL,MA,HAVERHILL,0
ASST_NON_01CH010375_075,2023-01-31,-236254.0,236254.0,RESCISSION,D,ADJUSTMENT TO COMPLETED PROJECT,C,CORRECT AN EXISTING RECORD,DIMOCK COMMUNITY SERVICES CORPORATION,ROXBURY,MA,ROXBURY,0
ASST_NON_01CH010716_075,2022-06-14,-0.38,0.38,PARTIAL_RES_CUM_POS,C,REVISION,,,"HOLYOKE.CHICOPEE.SPRINGFIELD HEAD START, INC.",SPRINGFIELD,MA,SPRINGFIELD,0
ASST_NON_01CH010716_075,2022-11-16,-0.75,0.75,PARTIAL_RES_CUM_POS,D,ADJUSTMENT TO COMPLETED PROJECT,C,CORRECT AN EXISTING RECORD,"HOLYOKE.CHICOPEE.SPRINGFIELD HEAD START, INC.",SPRINGFIELD,MA,SPRINGFIELD,0
ASST_NON_01CH010902_075,2022-11-07,-3826.0,3826.0,CANCELLATION,C,REVISION,C,CORRECT AN EXISTING RECORD,"PATHWAYS FOR CHILDREN, INC.",GLOUCESTER,MA,GLOUCESTER,0
ASST_NON_01CH011278_075,2022-11-15,-36823.0,36823.0,PARTIAL_RES_CUM_POS,C,REVISION,C,CORRECT AN EXISTING RECORD,"MARTHA'S VINEYARD COMMUNITY SERVICES, INC.",OAK BLUFFS,MA,,0
ASST_NON_01CH011278_075,2022-11-18,-66271.0,66271.0,PARTIAL_RES_CUM_POS,C,REVISION,C,CORRECT AN EXISTING RECORD,"MARTHA'S VINEYARD COMMUNITY SERVICES, INC.",OAK BLUFFS,MA,,0
ASST_NON_01CH011364_075,2022-09-14,-0.33,0.33,PARTIAL_RES_CUM_POS,C,REVISION,,,"SOUTH SHORE STARS, INC.",EAST WEYMOUTH,MA,EAST WEYMOUTH,0
ASST_NON_01CH011364_075,2023-10-13,-115009.07,115009.07,PARTIAL_RES_CUM_POS,D,ADJUSTMENT TO COMPLETED PROJECT,C,CORRECT AN EXISTING RECORD,"SOUTH SHORE STARS, INC.",EAST WEYMOUTH,MA,WEYMOUTH,0
ASST_NON_01CH10023_075,2022-06-14,-0.27,0.27,RESCISSION,C,REVISION,C,CORRECT AN EXISTING RECORD,CITIZENS FOR CITIZENS INC,FALL RIVER,MA,FALL RIVER,0
ASST_NON_01CH10023_075,2022-10-12,-20423.0,20423.0,RESCISSION,D,ADJUSTMENT TO COMPLETED PROJECT,C,CORRECT AN EXISTING RECORD,CITIZENS FOR CITIZENS INC,FALL RIVER,MA,FALL RIVER,0
ASST_NON_01CH2023_075,2022-09-30,-66256.09,66256.09,CANCELLATION,C,REVISION,,,"CAPE COD CHILD DEVELOPMENT PROGRAM, INC.",HYANNIS,MA,,0
ASST_NON_01CH2204_075,2022-06-03,-33428.64,33428.64,CANCELLATION,C,REVISION,C,CORRECT AN EXISTING RECORD,"COMMUNITY ACTION AGENCY OF SOMERVILLE, INC.",SOMERVILLE,MA,,0
ASST_NON_01CH2234_075,2022-10-25,-27899.91,27899.91,CANCELLATION,D,ADJUSTMENT TO COMPLETED PROJECT,C,CORRECT AN EXISTING RECORD,"MARTHA'S VINEYARD COMMUNITY SERVICES, INC.",OAK BLUFFS,MA,,0
ASST_NON_01CH2244_075,2022-07-08,-22500.0,22500.0,CANCELLATION,C,REVISION,,,"HOLYOKE.CHICOPEE.SPRINGFIELD HEAD START, INC.",SPRINGFIELD,MA,SPRINGFIELD,0
ASST_NON_01CH2523_075,2022-05-20,-4513.0,4513.0,CANCELLATION,C,REVISION,C,CORRECT AN EXISTING RECORD,"PATHWAYS FOR CHILDREN, INC.",GLOUCESTER,MA,GLOUCESTER,0
ASST_NON_01HE000032_075,2023-12-20,-84579.5,84579.5,PARTIAL_RES_CUM_POS,D,ADJUSTMENT TO COMPLETED PROJECT,C,CORRECT AN EXISTING RECORD,"SOUTH SHORE STARS, INC.",EAST WEYMOUTH,MA,WEYMOUTH,0
ASST_NON_01HE000097_075,2024-02-14,-2.54,2.54,PARTIAL_RES_CUM_POS,D,ADJUSTMENT TO COMPLETED PROJECT,,,"SOUTH MIDDLESEX OPPORTUNITY COUNCIL, INC.",FRAMINGHAM,MA,FRAMINGHAM,0
ASST_NON_01HE000160_075,2024-11-14,-100128.72,100128.72,PARTIAL_RES_CUM_POS,D,ADJUSTMENT TO COMPLETED PROJECT,C,CORRECT AN EXISTING RECORD,SELF HELP INC,BROCKTON,MA,BROCKTON,0
ASST_NON_01HE000476_075,2024-02-26,-61784.0,61784.0,PARTIAL_RES_CUM_POS,D,ADJUSTMENT TO COMPLETED PROJECT,,,"MARTHA'S VINEYARD COMMUNITY SERVICES, INC.",OAK BLUFFS,MA,,0
ASST_NON_01HP000159_075,2023-09-08,-782542.0,782542.0,PARTIAL_RES_CUM_POS,D,ADJUSTMENT TO COMPLETED PROJECT,C,CORRECT AN EXISTING RECORD,"SOUTH SHORE COMMUNITY ACTION COUNCIL, INC.",PLYMOUTH,MA,PLYMOUTH,0
ASST_NON_01HP0004_075,2021-06-14,-7839.19,7839.19,CANCELLATION,C,REVISION,,,COMMUNITY ACTION INC,HAVERHILL,MA,,0
ASST_NON_01HP0004_075,2022-07-08,-837320.5,837320.5,CANCELLATION,C,REVISION,C,CORRECT AN EXISTING RECORD,COMMUNITY ACTION INC,HAVERHILL,MA,,0
ASST_NON_01HP0004_075,2022-08-23,-319215.92,319215.92,CANCELLATION,C,REVISION,,,COMMUNITY ACTION INC,HAVERHILL,MA,,0
ASST_NON_0504MAHMHR_075,2022-11-16,-404692.3,404692.3,CANCELLATION,D,ADJUSTMENT TO COMPLETED PROJECT,C,CORRECT AN EXISTING RECORD,THE COMMONWEALTH OF MASSACHUSETTS,BOSTON,MA,,0
ASST_NON_0504MAHMHR_075,2022-12-20,-156737.46,156737.46,CANCELLATION,D,ADJUSTMENT TO COMPLETED PROJECT,C,CORRECT AN EXISTING RECORD,THE COMMONWEALTH OF MASSACHUSETTS,BOSTON,MA,,0
ASST_NON_0504MAHMHR_075,2023-07-24,-9439.45,9439.45,CANCELLATION,D,ADJUSTMENT TO COMPLETED PROJECT,C,CORRECT AN EXISTING RECORD,THE COMMONWEALTH OF MASSACHUSETTS,BOSTON,MA,,0
ASST_NON_0701MACJA1_075,2022-09-20,-1743.51,1743.51,CANCELLATION,C,REVISION,,,COMMONWEALTH OF MASSACHUSETTS DEPT OF CHILDREN & FAMILIES,BOSTON,MA,,0
ASST_NON_0701MASAVP_075,2022-12-22,-46759.23,46759.23,CANCELLATION,D,ADJUSTMENT TO COMPLETED PROJECT,C,CORRECT AN EXISTING RECORD,MASSACHUSETTS DEPARTMENT OF REVENUE,BOSTON,MA,,0
ASST_NON_0701MASAVP_075,2023-07-24,-2816.06,2816.06,CANCELLATION,D,ADJUSTMENT TO COMPLETED PROJECT,C,CORRECT AN EXISTING RECORD,MASSACHUSETTS DEPARTMENT OF REVENUE,BOSTON,MA,,0
ASST_NON_0801MASAVP_075,2022-11-10,-79835.12,79835.12,CANCELLATION,D,ADJUSTMENT TO COMPLETED PROJECT,C,CORRECT AN EXISTING RECORD,MASSACHUSETTS DEPARTMENT OF REVENUE,BOSTON,MA,,0
ASST_NON_086905361_013,2023-05-05,-3512.3,3512.3,CANCELLATION,D,ADJUSTMENT TO COMPLETED PROJECT,,,NORTHEASTERN UNIVERSITY,BOSTON,MA,NEW ORLEANS,0
ASST_NON_0901MASAVP_075,2022-11-10,-170817.0,170817.0,CANCELLATION,D,ADJUSTMENT TO COMPLETED PROJECT,C,CORRECT AN EXISTING RECORD,MASSACHUSETTS DEPARTMENT OF REVENUE,BOSTON,MA,,0
ASST_NON_09VSAMA004_485,2022-02-25,-181903.9,181903.9,RESCISSION,D,ADJUSTMENT TO COMPLETED PROJECT,,,"YOUTHBUILD GLOBAL, INC.",ROXBURY,MA,,0
ASST_NON_1001MASAVP_075,2022-12-22,-79988.72,79988.72,CANCELLATION,D,ADJUSTMENT TO COMPLETED PROJECT,C,CORRECT AN EXISTING RECORD,MASSACHUSETTS DEPARTMENT OF REVENUE,BOSTON,MA,,0
ASST_NON_1001MASAVP_075,2023-07-24,-2105.09,2105.09,CANCELLATION,D,ADJUSTMENT TO COMPLETED PROJECT,C,CORRECT AN EXISTING RECORD,MASSACHUSETTS DEPARTMENT OF REVENUE,BOSTON,MA,,0
ASST_NON_10AAMAMADR_075,2021-10-31,-3543.19,3543.19,CANCELLATION,C,REVISION,,,THE COMMONWEALTH OF MASSACHUSETTS,BOSTON,MA,,0
ASST_NON_1101MACJA1_075,2022-09-20,-147.6,147.6,CANCELLATION,C,REVISION,,,COMMONWEALTH OF MASSACHUSETTS DEPT OF CHILDREN & FAMILIES,BOSTON,MA,,0
ASST_NON_12-MA-040-21_036,2022-05-03,-450000.0,450000.0,PARTIAL_RES_CUM_POS,C,REVISION,,,"VOLUNTEERS OF AMERICA OF MASSACHUSETTS, INC.",JAMAICA PLAIN,MA,,0
ASST_NON_12-MA-040-21_036,2022-09-08,-79106.0,79106.0,PARTIAL_RES_CUM_POS,C,REVISION,,,"VOLUNTEERS OF AMERICA OF MASSACHUSETTS, INC.",JAMAICA PLAIN,MA,,0
ASST_NON_12-MA-040-22_036,2023-01-06,-471623.0,471623.0,PARTIAL_RES_CUM_POS,C,REVISION,,,"VOLUNTEERS OF AMERICA OF MASSACHUSETTS, INC.",JAMAICA PLAIN,MA,,0
ASST_NON_12-MA-040-23_036,2024-03-08,-35000.0,35000.0,PARTIAL_RES_CUM_POS,C,REVISION,,,"VOLUNTEERS OF AMERICA OF MASSACHUSETTS, INC.",JAMAICA PLAIN,MA,,0
ASST_NON_1201MACJA1_075,2022-09-20,-142.58,142.58,CANCELLATION,C,REVISION,,,COMMONWEALTH OF MASSACHUSETTS DEPT OF CHILDREN & FAMILIES,BOSTON,MA,,0
ASST_NON_12128MA006L1803_012,2021-09-09,-833.98,833.98,CANCELLATION,B,CONTINUATION,,,MASSACHUSETTS DEPARTMENT OF ELEMENTARY & SECONDARY EDUCATION,MALDEN,MA,,0
ASST_NON_13-NY-121-22_036,2023-03-03,-100000.0,100000.0,PARTIAL_RES_CUM_POS,C,REVISION,,,"SOLDIER ON OF DELAWARE, INC",PITTSFIELD,MA,,0
ASST_NON_13-NY-121-23_036,2024-01-03,-300000.0,300000.0,PARTIAL_RES_CUM_POS,C,REVISION,,,"SOLDIER ON OF DELAWARE, INC",LEEDS,MA,,0
ASST_NON_13CA11132543476_012,2021-06-08,-39703.0,39703.0,CANCELLATION,D,ADJUSTMENT TO COMPLETED PROJECT,,,"NATIONAL FIRE PROTECTION ASSOCIATION, INC",QUINCY,MA,,0
ASST_NON_13CA11132543477_012,2021-06-08,-15328.0,15328.0,CANCELLATION,D,ADJUSTMENT TO COMPLETED PROJECT,,,"NATIONAL FIRE PROTECTION ASSOCIATION, INC",QUINCY,MA,,0
ASST_NON_13TAMARTAG_075,2021-10-31,-43819.69,43819.69,CANCELLATION,C,REVISION,,,COMMONWEALTH OF MASSACHUSETTS EXECUTIVE OFFICE OF HEALTH AND HUMAN SERVICES,BOSTON,MA,,0
ASST_NON_14-MA-209-21_036,2022-05-10,-250000.0,250000.0,PARTIAL_RES_CUM_POS,C,REVISION,,,"VETERANS NORTHEAST OUTREACH CENTER, INC.",HAVERHILL,MA,,0
ASST_NON_14-MA-209-21_036,2022-07-20,-450000.0,450000.0,PARTIAL_RES_CUM_POS,D,ADJUSTMENT TO COMPLETED PROJECT,,,"VETERANS NORTHEAST OUTREACH CENTER, INC.",HAVERHILL,MA,,0
ASST_NON_14-MA-209-21_036,2022-10-31,-156186.0,156186.0,PARTIAL_RES_CUM_POS,C,REVISION,,,"VETERANS NORTHEAST OUTREACH CENTER, INC.",HAVERHILL,MA,,0
ASST_NON_14-MA-209-22_036,2022-09-09,-447759.0,447759.0,PARTIAL_RES_CUM_POS,C,REVISION,,,"VETERANS NORTHEAST OUTREACH CENTER, INC.",HAVERHILL,MA,,0
ASST_NON_14-MA-209-22_036,2023-01-06,-597012.0,597012.0,PARTIAL_RES_CUM_POS,C,REVISION,,,"VETERANS NORTHEAST OUTREACH CENTER, INC.",HAVERHILL,MA,,0
ASST_NON_14-MA-209-23_036,2024-02-26,-250000.0,250000.0,PARTIAL_RES_CUM_POS,C,REVISION,,,"VETERANS NORTHEAST OUTREACH CENTER, INC.",HAVERHILL,MA,,0
ASST_NON_14-MA-209-23_036,2024-05-09,-704581.8,704581.8,PARTIAL_RES_CUM_POS,C,REVISION,,,"VETERANS NORTHEAST OUTREACH CENTER, INC.",HAVERHILL,MA,,0
ASST_NON_14-MA-209-24_036,2025-01-07,-2443704.72,2443704.72,PARTIAL_RES_CUM_POS,C,REVISION,,,"VETERANS NORTHEAST OUTREACH CENTER, INC.",HAVERHILL,MA,,0
ASST_NON_14-MA-209-24_036,2025-01-27,-13987.33,13987.33,PARTIAL_RES_CUM_POS,C,REVISION,,,"VETERANS NORTHEAST OUTREACH CENTER, INC.",HAVERHILL,MA,,1
ASST_NON_14-MA-209SS_036,2024-03-08,-1100000.0,1100000.0,PARTIAL_RES_CUM_POS,C,REVISION,C,CORRECT AN EXISTING RECORD,"VETERANS NORTHEAST OUTREACH CENTER, INC.",HAVERHILL,MA,,0
ASST_NON_14-MA-209SS_036,2024-05-16,-452435.1,452435.1,PARTIAL_RES_CUM_POS,C,REVISION,,,"VETERANS NORTHEAST OUTREACH CENTER, INC.",HAVERHILL,MA,,0
ASST_NON_14-PA-280-21_036,2022-05-18,-320000.0,320000.0,PARTIAL_RES_CUM_POS,C,REVISION,,,"SOLDIER ON OF DELAWARE, INC",PITTSFIELD,MA,,0
ASST_NON_14-PA-280-22_036,2023-03-03,-200000.0,200000.0,PARTIAL_RES_CUM_POS,C,REVISION,,,"SOLDIER ON OF DELAWARE, INC",LEEDS,MA,,0
ASST_NON_14-PA-280-22_036,2023-03-03,-140000.0,140000.0,PARTIAL_RES_CUM_POS,C,REVISION,,,"SOLDIER ON OF DELAWARE, INC",LEEDS,MA,,0
ASST_NON_1401MAPREP_075,2022-04-21,-62692.28,62692.28,CANCELLATION,C,REVISION,C,CORRECT AN EXISTING RECORD,"PUBLIC HEALTH, MASSACHUSETTS DEPARTMENT OF",BOSTON,MA,,0
ASST_NON_1402MANSIT_075,2021-03-04,-246.0,246.0,CANCELLATION,C,REVISION,,,MASHPEE WAMPANOAG TRIBE,MASHPEE,MA,,0
ASST_NON_14148MA013L3203_012,2021-07-14,-2699.76,2699.76,CANCELLATION,B,CONTINUATION,,,SPRINGFIELD PUBLIC SCHOOL DISTRICT,SPRINGFIELD,MA,SPRINGFIELD,0
ASST_NON_14AAMAMAAA_075,2021-10-31,-200.0,200.0,CANCELLATION,C,REVISION,,,MASSACHUSETTS EXECUTIVE OFFICE OF ELDER AFFAIRS,BOSTON,MA,,0
ASST_NON_14AAMAMADR_075,2021-10-31,-200.0,200.0,CANCELLATION,C,REVISION,,,MASSACHUSETTS EXECUTIVE OFFICE OF ELDER AFFAIRS,BOSTON,MA,,0
ASST_NON_14SIHMA001_485,2021-09-29,-2793.44,2793.44,CANCELLATION,D,ADJUSTMENT TO COMPLETED PROJECT,,,JOBS FOR THE FUTURE INC,BOSTON,MA,,0
ASST_NON_14TAMARTAG_075,2021-10-31,-60619.63,60619.63,CANCELLATION,C,REVISION,,,COMMONWEALTH OF MASSACHUSETTS EXECUTIVE OFFICE OF HEALTH AND HUMAN SERVICES,BOSTON,MA,,0
ASST_NON_14VSAMA004_485,2025-09-09,-4.0,4.0,PARTIAL_RES_CUM_POS,C,REVISION,,,BOSTON MEDICAL CENTER CORPORATION,BOSTON,MA,,1
ASST_NON_1501MACA01_075,2022-07-15,-288.2,288.2,CANCELLATION,C,REVISION,C,CORRECT AN EXISTING RECORD,THE COMMONWEALTH OF MASSACHUSETTS,BOSTON,MA,,0
ASST_NON_1501MAPREP_075,2022-04-21,-17685.96,17685.96,CANCELLATION,C,REVISION,C,CORRECT AN EXISTING RECORD,"PUBLIC HEALTH, MASSACHUSETTS DEPARTMENT OF",BOSTON,MA,,0
ASST_NON_1501MARSOC_075,2021-06-18,-5347.57,5347.57,CANCELLATION,C,REVISION,,,THE COMMONWEALTH OF MASSACHUSETTS,BOSTON,MA,,0
ASST_NON_1502MAMTRB_075,2021-10-31,-168.07,168.07,CANCELLATION,C,REVISION,,,MASHPEE WAMPANOAG TRIBE,MASHPEE,MA,,0
ASST_NON_1503196_049,2020-12-18,-531239.0,531239.0,CANCELLATION,C,REVISION,,,CONCORD CONSORTIUM INC,CONCORD,MA,CONCORD,0
ASST_NON_15154MA702W1003_012,2021-04-27,-2595.99,2595.99,CANCELLATION,B,CONTINUATION,,,"PUBLIC HEALTH, MASSACHUSETTS DEPARTMENT OF",BOSTON,MA,,0
ASST_NON_1551594_049,2020-11-18,-80288.0,80288.0,CANCELLATION,C,REVISION,,,WORCESTER POLYTECHNIC INSTITUTE,WORCESTER,MA,WORCESTER,0
ASST_NON_1551594_049,2020-11-18,-9904.0,9904.0,CANCELLATION,C,REVISION,,,WORCESTER POLYTECHNIC INSTITUTE,WORCESTER,MA,WORCESTER,0
ASST_NON_1558342_049,2021-03-26,-26093.0,26093.0,CANCELLATION,C,REVISION,,,WOODS HOLE OCEANOGRAPHIC INSTITUTION,WOODS HOLE,MA,WOODS HOLE,0
ASST_NON_15DG11420004184_012,2022-01-28,-9727.52,9727.52,CANCELLATION,D,ADJUSTMENT TO COMPLETED PROJECT,,,COMMONWEALTH OF MASSACHUSETTS DEPT. OF CONSERVATION & RECREATION,BOSTON,MA,,0
ASST_NON_15DG11420004209_012,2022-02-07,-48449.19,48449.19,CANCELLATION,D,ADJUSTMENT TO COMPLETED PROJECT,,,COMMONWEALTH OF MASSACHUSETTS DEPT. OF CONSERVATION & RECREATION,BOSTON,MA,,0
ASST_NON_15DG11420004209_012,2022-02-07,-1347.54,1347.54,CANCELLATION,D,ADJUSTMENT TO COMPLETED PROJECT,,,COMMONWEALTH OF MASSACHUSETTS DEPT. OF CONSERVATION & RECREATION,BOSTON,MA,,0
ASST_NON_15JCOPS21GG02180SLEM_015,2024-10-29,-29062.07,29062.07,PARTIAL_RES_CUM_POS,D,ADJUSTMENT TO COMPLETED PROJECT,,,TOWN OF DENNIS,SOUTH DENNIS,MA,SOUTH DENNIS,0
ASST_NON_15JCOPS21GG02286SPPS_015,2023-08-29,-9661.2,9661.2,PARTIAL_RES_CUM_POS,D,ADJUSTMENT TO COMPLETED PROJECT,,,STATE POLICE DEPARTMENT,FRAMINGHAM,MA,FRAMINGHAM,0
ASST_NON_15JCOPS21GG02562SPPS_015,2024-02-23,-337.5,337.5,PARTIAL_RES_CUM_POS,D,ADJUSTMENT TO COMPLETED PROJECT,,,TOWN OF SOUTH HADLEY TOWN HALL,SOUTH HADLEY,MA,SOUTH HADLEY,0
ASST_NON_15JCOPS21GG02563SPPS_015,2025-02-13,-140.42,140.42,PARTIAL_RES_CUM_POS,D,ADJUSTMENT TO COMPLETED PROJECT,,,CITY OF FITCHBURG,FITCHBURG,MA,FITCHBURG,1
ASST_NON_15JCOPS22GG04531PPSE_015,2024-06-26,-3.56,3.56,PARTIAL_RES_CUM_POS,D,ADJUSTMENT TO COMPLETED PROJECT,,,STATE POLICE DEPARTMENT,FRAMINGHAM,MA,FRAMINGHAM,0
ASST_NON_15PBJA21GG00113JRJX_015,2025-04-29,-1804.0,1804.0,PARTIAL_RES_CUM_POS,D,ADJUSTMENT TO COMPLETED PROJECT,,,DEPARTMENT OF PUBLIC SAFETY,BOSTON,MA,BOSTON,1
ASST_NON_15PBJA21GG01526JAGX_015,2025-04-02,-80979.8,80979.8,PARTIAL_RES_CUM_POS,D,ADJUSTMENT TO COMPLETED PROJECT,,,CITY OF BOSTON,ROXBURY CROSSING,MA,ROXBURY CROSSING,1
ASST_NON_15PBJA21GG01527JAGX_015,2025-04-02,-187.77,187.77,PARTIAL_RES_CUM_POS,D,ADJUSTMENT TO COMPLETED PROJECT,,,CITY OF CHELSEA,CHELSEA,MA,CHELSEA,1
ASST_NON_15PBJA21GG01529JAGX_015,2023-01-19,-2202.34,2202.34,PARTIAL_RES_CUM_POS,D,ADJUSTMENT TO COMPLETED PROJECT,,,CITY OF FITCHBURG,FITCHBURG,MA,FITCHBURG,0
ASST_NON_15PBJA21GG01533JAGX_015,2025-03-07,-3874.0,3874.0,PARTIAL_RES_CUM_POS,D,ADJUSTMENT TO COMPLETED PROJECT,,,CITY OF LAWRENCE,LAWRENCE,MA,LAWRENCE,1
ASST_NON_15PBJA21GG01542JAGX_015,2023-06-08,-1274.84,1274.84,ADMIN_OR_PREPAY_ADJ,D,ADJUSTMENT TO COMPLETED PROJECT,,,CITY OF PEABODY,PEABODY,MA,PEABODY,0
ASST_NON_15PBJA21GG01543JAGX_015,2024-12-06,-2945.58,2945.58,PARTIAL_RES_CUM_POS,D,ADJUSTMENT TO COMPLETED PROJECT,,,CITY OF PITTSFIELD,PITTSFIELD,MA,PITTSFIELD,0
ASST_NON_15PBJA21GG01544JAGX_015,2025-04-02,-619.66,619.66,PARTIAL_RES_CUM_POS,D,ADJUSTMENT TO COMPLETED PROJECT,,,PLYMOUTH COUNTY,PLYMOUTH,MA,PLYMOUTH,1
ASST_NON_15PBJA21GG02703MANA_015,2024-01-31,-270.0,270.0,PARTIAL_RES_CUM_POS,D,ADJUSTMENT TO COMPLETED PROJECT,,,MASSACHUSETTS DEPARTMENT OF CORRECTIONS,MILFORD,MA,MILFORD,0
ASST_NON_15PBJA21GG02908COVE_015,2024-03-01,-7595.29,7595.29,PARTIAL_RES_CUM_POS,D,ADJUSTMENT TO COMPLETED PROJECT,,,STATE POLICE DEPARTMENT,FRAMINGHAM,MA,FRAMINGHAM,0
ASST_NON_15PBJA21GG02963MAPX_015,2024-10-29,-33108.46,33108.46,PARTIAL_RES_CUM_POS,D,ADJUSTMENT TO COMPLETED PROJECT,,,CITY OF BROCKTON POLICE DEPARTMENT,BROCKTON,MA,BROCKTON,0
ASST_NON_15PBJA21GG02967MAPX_015,2025-02-28,-32399.41,32399.41,PARTIAL_RES_CUM_POS,D,ADJUSTMENT TO COMPLETED PROJECT,,,CITY OF FRAMINGHAM,FRAMINGHAM,MA,FRAMINGHAM,1
ASST_NON_15PBJA21GG03029GUNP_015,2025-04-28,-17311.55,17311.55,PARTIAL_RES_CUM_POS,D,ADJUSTMENT TO COMPLETED PROJECT,,,DEPARTMENT OF PUBLIC SAFETY,BOSTON,MA,BOSTON,1
ASST_NON_15PBJA21GG03130DNAX_015,2024-02-14,-2083.16,2083.16,PARTIAL_RES_CUM_POS,D,ADJUSTMENT TO COMPLETED PROJECT,,,STATE POLICE DEPARTMENT,FRAMINGHAM,MA,FRAMINGHAM,0
ASST_NON_15PBJA21GG03131DNAX_015,2024-07-24,-5779.7,5779.7,PARTIAL_RES_CUM_POS,D,ADJUSTMENT TO COMPLETED PROJECT,,,CITY OF BOSTON,ROXBURY CROSSING,MA,ROXBURY CROSSING,0
ASST_NON_15PBJA21GG03603WRNG_015,2025-02-05,-44697.62,44697.62,PARTIAL_RES_CUM_POS,D,ADJUSTMENT TO COMPLETED PROJECT,,,NEW ENGLAND INNOCENCE PROJECT,CAMBRIDGE,MA,CAMBRIDGE,1
